"CCG","Cancer Alliance","STP","Year","Site","Stage 1","Stage 2","Stage 3","Stage 4","Staged - other early","Staged - other advanced","Unstageable","Missing stage","Percentage completeness (%)"
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2014,"Rectum and rectosigmoid junction",10,8,10,8,NA,NA,NA,4,90
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2014,"Testis",5,NA,NA,NA,NA,NA,NA,NA,100
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2014,"Thyroid",NA,NA,2,1,NA,NA,NA,3,50
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2014,"Uterus",13,2,1,3,NA,NA,NA,2,90.5
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2018,"Stomach excluding cardia and gastroesophageal junction",NA,2,NA,3,NA,NA,NA,4,55.6
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2018,"Testis",4,NA,NA,NA,NA,NA,NA,1,80
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2013,"Testis",3,NA,NA,NA,NA,NA,1,1,60
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Bladder",11,10,3,2,NA,NA,NA,2,92.9
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Breast",34,45,18,7,NA,NA,NA,9,92
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2016,"Testis",1,1,NA,NA,NA,NA,NA,1,66.7
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2016,"Thyroid",6,NA,1,1,NA,NA,NA,2,80
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2016,"Uterus",20,1,2,3,NA,NA,NA,1,96.3
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2015,"Rectum and rectosigmoid junction",6,7,18,9,NA,NA,NA,3,93
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2015,"Stomach excluding cardia and gastroesophageal junction",1,5,1,5,NA,NA,NA,1,92.3
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2018,"Pancreas",4,1,5,14,NA,NA,NA,4,85.7
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2018,"Prostate",47,15,31,31,NA,NA,NA,16,88.6
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2018,"Rectum and rectosigmoid junction",7,11,16,10,NA,NA,NA,1,97.8
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2017,"Uterus",22,1,NA,2,NA,NA,NA,1,96.2
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2018,"Uterus",26,NA,2,6,NA,NA,NA,2,94.4
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2017,"Testis",3,NA,2,NA,NA,NA,NA,1,83.3
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2017,"Thyroid",4,1,1,2,NA,NA,NA,1,88.9
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2015,"Uterus",12,3,NA,1,NA,NA,1,1,88.9
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2018,"Thyroid",6,NA,1,1,NA,NA,NA,NA,100
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2015,"Testis",6,NA,NA,1,NA,NA,1,NA,87.5
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2015,"Prostate",31,26,34,26,NA,NA,NA,16,88
"NHS North East Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2015,"Thyroid",4,NA,2,1,NA,NA,NA,1,87.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Hodgkin lymphoma",12,14,16,14,NA,NA,NA,21,72.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Kidney, except renal pelvis",37,10,16,21,NA,NA,1,135,38.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Testis",29,4,1,4,NA,NA,2,13,71.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Oropharynx, base of tongue, tonsil, soft palate and uvula",19,7,9,23,NA,NA,NA,14,80.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Other",73,42,57,99,95,25,469,381,31.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Breast",432,408,114,77,NA,NA,4,84,92.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Larynx including anterior surface of epiglottis",17,4,8,10,NA,NA,NA,8,83
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Lung",172,61,158,353,NA,NA,2,144,83.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Bladder",50,38,6,23,NA,NA,NA,30,79.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Stomach excluding cardia and gastroesophageal junction",7,18,17,32,NA,NA,NA,33,69.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Larynx including anterior surface of epiglottis",13,3,6,11,NA,NA,NA,3,91.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Lung",131,57,162,450,NA,NA,3,88,89.8
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Melanoma of skin",138,45,15,11,NA,NA,NA,37,85
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Non-Hodgkin lymphoma",44,26,44,107,NA,NA,NA,41,84.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Oesophagus including cardia and gastroesophageal junction",19,21,63,38,NA,NA,NA,21,87
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Oral cavity, hard palate and lip (inner aspect)",21,15,6,29,NA,NA,1,6,91
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Oropharynx, base of tongue, tonsil, soft palate and uvula",2,1,4,39,NA,NA,NA,3,93.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Other",74,64,67,149,48,18,480,285,35.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Ovary, fallopian tube and primary peritoneal carcinomas",40,12,30,34,NA,NA,3,25,80.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Pancreas",10,13,18,94,NA,NA,NA,42,76.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Prostate",247,201,198,139,NA,NA,NA,199,79.8
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Melanoma of skin",111,30,8,6,NA,NA,NA,42,78.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Kidney, except renal pelvis",91,15,28,40,NA,NA,1,47,78.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Non-Hodgkin lymphoma",24,14,29,103,NA,NA,2,106,61.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Oesophagus including cardia and gastroesophageal junction",8,16,31,53,NA,NA,1,55,65.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Oral cavity, hard palate and lip (inner aspect)",11,10,5,37,NA,NA,NA,13,82.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Bladder",47,41,8,29,NA,NA,1,33,78.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Breast",375,455,97,73,NA,NA,5,60,93.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Ovary, fallopian tube and primary peritoneal carcinomas",31,11,38,20,NA,NA,NA,48,67.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Pancreas",9,12,17,80,NA,NA,NA,79,59.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Prostate",308,139,157,122,NA,NA,NA,393,64.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Rectum and rectosigmoid junction",43,31,94,36,NA,NA,1,41,82.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Stomach excluding cardia and gastroesophageal junction",11,15,18,33,NA,NA,NA,64,54.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Testis",23,NA,3,NA,NA,NA,NA,29,47.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Rectum and rectosigmoid junction",41,26,82,55,NA,NA,NA,28,87.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Stomach excluding cardia and gastroesophageal junction",14,18,17,48,NA,NA,NA,28,77.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Oesophagus including cardia and gastroesophageal junction",18,11,50,75,NA,NA,NA,31,83.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Oral cavity, hard palate and lip (inner aspect)",17,10,2,33,NA,NA,2,4,91.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Oropharynx, base of tongue, tonsil, soft palate and uvula",4,4,3,39,NA,NA,NA,3,94.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Other",68,69,61,163,88,25,488,225,39.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Ovary, fallopian tube and primary peritoneal carcinomas",44,23,27,42,NA,NA,NA,12,91.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Pancreas",10,23,19,91,NA,NA,NA,45,76.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Prostate",248,167,191,171,NA,NA,1,93,89.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Rectum and rectosigmoid junction",47,30,88,67,NA,NA,NA,17,93.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Stomach excluding cardia and gastroesophageal junction",16,13,13,29,NA,NA,NA,22,76.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Testis",41,1,4,NA,NA,NA,NA,14,76.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Cervix",20,8,2,2,NA,NA,NA,32,50
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Colon",66,123,129,123,NA,NA,2,65,86.8
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Hodgkin lymphoma",8,28,14,18,NA,NA,NA,4,94.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Bladder",57,34,7,31,NA,NA,1,25,83.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Breast",404,466,108,57,NA,NA,8,70,93
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Cervix",21,19,1,8,NA,NA,1,21,69
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Colon",59,127,112,121,NA,NA,NA,42,90.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Hodgkin lymphoma",10,26,12,23,NA,NA,NA,3,95.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Kidney, except renal pelvis",109,16,30,34,NA,NA,1,46,80.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Larynx including anterior surface of epiglottis",11,5,9,12,NA,NA,NA,1,97.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Lung",164,51,168,427,NA,NA,1,54,93.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Melanoma of skin",145,47,13,4,NA,NA,NA,18,92.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Non-Hodgkin lymphoma",46,36,30,126,NA,NA,NA,42,85
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Oesophagus including cardia and gastroesophageal junction",21,21,36,57,NA,NA,NA,21,86.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Oral cavity, hard palate and lip (inner aspect)",21,7,1,41,NA,NA,NA,2,97.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Oropharynx, base of tongue, tonsil, soft palate and uvula",3,6,10,31,NA,NA,NA,3,94.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Other",68,88,99,134,82,40,468,231,42.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Ovary, fallopian tube and primary peritoneal carcinomas",43,17,35,26,NA,NA,NA,12,91
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Pancreas",12,29,22,102,NA,NA,NA,40,80.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Prostate",350,197,196,185,NA,NA,NA,110,89.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Rectum and rectosigmoid junction",44,27,108,46,NA,NA,NA,19,92.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Stomach excluding cardia and gastroesophageal junction",12,16,15,29,NA,NA,NA,19,79.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Cervix",34,10,8,6,NA,NA,1,17,76.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Colon",73,116,118,131,NA,NA,NA,46,90.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Hodgkin lymphoma",8,22,11,15,NA,NA,NA,4,93.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Kidney, except renal pelvis",92,14,33,35,NA,NA,NA,30,85.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Larynx including anterior surface of epiglottis",13,5,3,15,NA,NA,NA,4,90
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Lung",129,50,173,410,NA,NA,3,65,91.8
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Thyroid",57,9,NA,NA,NA,NA,6,40,58.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Uterus",115,8,20,16,NA,NA,1,28,84.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Bladder",51,48,11,20,NA,NA,NA,44,74.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Breast",364,367,124,60,NA,NA,3,84,91.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Cervix",17,7,2,5,NA,NA,NA,36,46.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Colon",59,94,105,105,NA,NA,NA,89,80.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Hodgkin lymphoma",5,14,8,24,NA,NA,NA,6,89.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Kidney, except renal pelvis",74,13,27,28,NA,NA,NA,58,71
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Larynx including anterior surface of epiglottis",8,4,9,9,NA,NA,1,5,83.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Lung",92,45,191,386,NA,NA,1,137,83.8
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Melanoma of skin",114,41,9,3,NA,NA,NA,34,83.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Non-Hodgkin lymphoma",31,25,30,109,NA,NA,NA,77,71.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Oesophagus including cardia and gastroesophageal junction",18,26,45,50,NA,NA,1,35,79.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Oral cavity, hard palate and lip (inner aspect)",18,6,4,23,NA,NA,NA,9,85
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Oropharynx, base of tongue, tonsil, soft palate and uvula",2,3,9,28,NA,NA,NA,10,80.8
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Other",57,40,49,92,35,3,489,420,23.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Ovary, fallopian tube and primary peritoneal carcinomas",38,12,39,18,NA,NA,1,42,71.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Pancreas",11,11,17,86,NA,NA,NA,61,67.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Prostate",303,137,159,104,NA,NA,1,207,77.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Rectum and rectosigmoid junction",36,32,81,34,NA,NA,NA,30,85.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Stomach excluding cardia and gastroesophageal junction",16,20,19,39,NA,NA,NA,25,79
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Testis",30,2,1,1,NA,NA,1,19,63
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Bladder",49,21,10,3,NA,NA,1,65,55.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Breast",394,341,74,73,NA,NA,NA,291,75.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Cervix",5,2,NA,5,NA,NA,NA,71,14.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2019,"Colon",58,136,150,99,NA,NA,NA,102,81.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Bladder",53,29,4,19,NA,NA,3,68,59.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Breast",383,367,101,37,NA,NA,3,183,82.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Cervix",3,NA,NA,4,NA,NA,NA,41,14.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Colon",52,108,111,111,NA,NA,NA,99,79.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Hodgkin lymphoma",3,17,8,16,NA,NA,NA,14,75.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Kidney, except renal pelvis",55,23,28,20,NA,NA,1,80,60.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Larynx including anterior surface of epiglottis",11,4,14,17,NA,NA,NA,5,90.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Lung",106,47,147,389,NA,NA,1,156,81.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Melanoma of skin",126,39,11,6,NA,NA,NA,43,80.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Non-Hodgkin lymphoma",25,27,41,81,NA,NA,NA,100,63.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Oesophagus including cardia and gastroesophageal junction",9,18,50,38,NA,NA,1,35,76.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Oral cavity, hard palate and lip (inner aspect)",29,7,5,35,NA,NA,NA,9,89.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Oropharynx, base of tongue, tonsil, soft palate and uvula",3,1,11,32,NA,NA,NA,8,85.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Other",56,58,52,108,39,4,483,448,25.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Melanoma of skin",133,52,16,4,NA,NA,NA,26,88.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Non-Hodgkin lymphoma",33,34,43,115,NA,NA,1,45,83
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Prostate",250,150,154,97,NA,NA,1,271,70.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Rectum and rectosigmoid junction",52,38,69,52,NA,NA,NA,50,80.8
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Cervix",18,9,4,2,NA,NA,1,25,55.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Colon",67,122,141,137,NA,NA,NA,46,91
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Hodgkin lymphoma",5,13,6,11,NA,NA,NA,10,77.8
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Kidney, except renal pelvis",113,26,37,31,NA,NA,NA,24,89.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Thyroid",35,11,12,12,NA,NA,3,20,75.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Uterus",124,9,20,25,NA,NA,NA,31,85.2
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Melanoma of skin",153,30,14,8,NA,NA,NA,19,91.5
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Non-Hodgkin lymphoma",39,24,44,106,NA,NA,1,57,78.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Oesophagus including cardia and gastroesophageal junction",7,12,44,62,NA,NA,NA,35,78.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Oral cavity, hard palate and lip (inner aspect)",12,8,5,34,NA,NA,NA,6,90.8
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Oropharynx, base of tongue, tonsil, soft palate and uvula",3,6,12,45,NA,NA,NA,2,97.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Other",87,75,84,129,73,19,488,273,38
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Thyroid",55,7,12,15,NA,NA,5,20,78.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2016,"Uterus",125,18,32,24,NA,NA,1,18,91.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Prostate",514,201,293,137,NA,NA,NA,98,92.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Rectum and rectosigmoid junction",46,27,108,44,NA,NA,NA,8,96.6
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Stomach excluding cardia and gastroesophageal junction",6,10,19,43,NA,NA,NA,15,83.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Testis",54,4,8,NA,NA,NA,NA,4,94.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Thyroid",82,10,1,4,NA,NA,1,17,84.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Uterus",138,18,28,16,NA,NA,NA,22,90.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Pancreas",8,17,7,71,NA,NA,NA,46,69.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Testis",36,2,3,NA,NA,NA,2,11,75.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Thyroid",24,7,4,10,NA,NA,2,43,50
"NHS North East London CCG","North East London","East London Health and Care Partnership",2013,"Uterus",103,21,13,22,NA,NA,3,39,79.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Lung",193,62,164,411,NA,NA,1,61,93
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Bladder",64,28,20,15,NA,NA,NA,23,84.7
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Breast",407,445,103,61,NA,NA,2,86,92
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Pancreas",13,17,26,86,NA,NA,NA,31,82.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2014,"Ovary, fallopian tube and primary peritoneal carcinomas",33,15,39,24,NA,NA,1,38,74
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Testis",33,3,2,2,NA,NA,3,9,76.9
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Thyroid",39,8,11,11,NA,NA,6,26,68.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2015,"Uterus",101,18,19,21,NA,NA,2,21,87.4
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Larynx including anterior surface of epiglottis",13,3,10,10,NA,NA,NA,1,97.3
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Thyroid",81,6,11,7,NA,NA,2,14,86.8
"NHS North East London CCG","North East London","East London Health and Care Partnership",2017,"Uterus",125,29,27,23,NA,NA,NA,20,91.1
"NHS North East London CCG","North East London","East London Health and Care Partnership",2018,"Ovary, fallopian tube and primary peritoneal carcinomas",44,21,38,18,NA,NA,1,20,85.2
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2015,"Breast",63,65,11,10,NA,NA,NA,9,94.3
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Uterus",21,3,1,5,NA,NA,NA,1,96.8
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2014,"Stomach excluding cardia and gastroesophageal junction",2,1,3,11,NA,NA,NA,4,81
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2014,"Testis",4,NA,NA,NA,NA,NA,NA,1,80
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Thyroid",4,2,NA,1,NA,NA,NA,3,70
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Breast",75,42,14,7,NA,NA,NA,18,88.5
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Cervix",6,2,2,1,NA,NA,NA,5,68.8
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Colon",16,19,18,26,NA,NA,NA,6,92.9
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2016,"Ovary, fallopian tube and primary peritoneal carcinomas",5,NA,14,5,NA,NA,NA,1,96
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2015,"Bladder",14,7,3,5,NA,NA,NA,6,82.9
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Larynx including anterior surface of epiglottis",4,2,3,3,NA,NA,NA,NA,100
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Lung",32,16,41,67,NA,NA,1,18,89.1
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2014,"Uterus",18,1,1,4,NA,NA,NA,NA,100
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Non-Hodgkin lymphoma",4,3,7,17,NA,NA,NA,8,79.5
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Oesophagus including cardia and gastroesophageal junction",2,NA,10,18,NA,NA,1,10,73.2
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Oral cavity, hard palate and lip (inner aspect)",3,1,1,1,NA,NA,NA,1,85.7
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Melanoma of skin",25,12,4,1,NA,NA,NA,1,97.7
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Bladder",12,11,4,7,NA,NA,NA,8,81
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Ovary, fallopian tube and primary peritoneal carcinomas",3,2,6,2,NA,NA,1,3,76.5
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Pancreas",3,2,2,12,NA,NA,NA,7,73.1
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Prostate",32,16,46,26,NA,NA,NA,25,82.8
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Rectum and rectosigmoid junction",9,7,9,11,NA,NA,NA,4,90
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Stomach excluding cardia and gastroesophageal junction",NA,NA,1,8,NA,NA,NA,1,90
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2019,"Testis",3,2,1,NA,NA,NA,NA,1,85.7
"NHS North Lincolnshire CCG","Humber, Coast and Vale","Humber, Coast and Vale",2016,"Larynx including anterior surface of epiglottis",1,1,1,2,NA,NA,NA,1,83.3
